frame,read_ms,track_ms,yolo_pre_ms,yolo_inf_ms,yolo_post_ms,ids_ms,draw_ms,diag_ms,n_tracks,n_small,n_blur,n_occluded_pairs
116,2.819,145.615,13.821,118.932,3.775,5.314,9.867,3.919,20,9,0,0
117,3.304,133.42,12.218,109.892,3.49,5.098,9.275,3.713,20,9,0,0
118,2.771,126.72,12.559,102.33,3.624,5.632,12.407,16.164,20,10,0,0
119,3.16,134.259,11.003,110.981,4.039,4.286,9.093,3.87,20,10,0,0
120,2.603,130.337,12.635,106.493,3.891,4.572,8.904,3.634,20,10,0,0
121,3.096,127.286,11.287,104.852,3.952,4.504,11.068,3.202,20,10,0,0
122,2.94,129.056,11.982,105.362,3.723,5.013,10.036,3.515,20,10,0,0
123,3.342,159.803,9.411,145.05,1.809,1.997,5.129,1.313,20,10,0,0
124,3.092,150.159,9.758,131.964,4.036,1.863,5.068,1.296,20,10,0,0
125,2.471,140.21,8.39,126.592,1.664,1.831,4.628,1.324,20,10,0,0
126,1.953,114.093,7.258,100.729,1.911,2.326,6.027,1.601,20,10,0,0
127,2.235,121.404,7.494,103.814,2.766,4.547,8.525,3.069,20,10,0,0
128,2.055,117.73,7.48,102.16,2.834,5.381,6.405,1.7,20,10,0,0
129,2.607,130.131,7.908,112.685,2.511,3.901,9.304,1.607,20,10,0,0
130,2.348,121.015,8.023,106.31,2.315,2.441,6.508,1.606,20,10,0,0
131,2.376,112.83,7.045,100.159,1.774,1.951,5.628,1.441,18,8,0,0
132,2.352,113.37,7.108,97.057,2.392,3.771,7.473,2.753,18,8,0,0
133,2.348,115.255,6.595,99.513,2.22,3.565,9.408,2.831,19,8,0,0
134,2.304,116.119,6.918,100.131,2.563,3.705,6.328,2.762,19,8,0,0
135,2.228,113.337,6.961,100.661,1.862,1.981,5.921,1.501,19,8,0,0
136,2.92,120.157,9.213,101.394,2.755,4.151,7.413,2.637,19,8,0,0
137,2.296,119.032,8.17,102.147,2.487,2.588,7.662,3.05,20,9,0,0
138,2.104,109.369,7.103,96.411,1.77,2.17,5.819,1.358,20,9,0,0
139,2.244,117.379,6.499,101.593,2.615,4.012,7.742,2.858,19,8,0,0
140,2.006,112.876,7.844,98.957,2.037,2.012,5.852,1.481,20,9,0,0
141,2.138,116.217,7.805,102.412,2.073,2.145,5.601,1.354,20,9,0,0
142,2.008,111.662,7.57,97.752,2.182,2.004,5.954,1.501,19,9,0,0
143,3.176,121.65,9.055,103.375,2.234,4.505,7.603,10.859,20,9,0,0
144,2.262,114.901,7.006,98.7,2.334,2.21,5.936,1.408,21,10,0,0
145,2.187,115.233,6.538,99.651,2.449,3.867,9.808,2.764,21,11,0,0
146,2.207,113.552,7.873,96.682,2.242,4.457,7.883,2.898,21,11,0,0
147,2.234,112.046,6.915,99.126,1.809,2.121,5.572,1.409,21,11,0,0
148,2.187,120.726,8.281,102.601,2.934,4.554,8.466,3.266,21,11,0,0
149,1.966,117.386,6.483,101.425,2.424,4.066,7.468,2.764,20,10,0,0
