frame,time_s,type,stable_id,class,detail
174,5.8,small_object,59,truck,"box 28x36px, conf 0.44"
174,5.8,id_recovered,71,moto,"raw 207 -> 253, mất 25 frame"
175,5.83,id_recovered,76,moto,"raw 245 -> 255, mất 1 frame"
178,5.93,id_recovered,38,bus,"raw 222 -> 263, mất 3 frame"
179,5.97,id_recovered,79,moto,"raw 261 -> 266, mất 1 frame"
183,6.1,small_object,82,car,"box 36x24px, conf 0.41"
184,6.13,id_recovered,72,car,"raw 217 -> 272, mất 1 frame"
184,6.13,id_recovered,44,car,"raw 57 -> 273, mất 41 frame"
186,6.2,id_recovered,3,car,"raw 3 -> 275, mất 1 frame"
186,6.2,id_recovered,25,car,"raw 198 -> 276, mất 19 frame"
186,6.2,id_recovered,76,moto,"raw 255 -> 277, mất 1 frame"
187,6.23,id_recovered,38,bus,"raw 263 -> 278, mất 4 frame"
187,6.23,id_recovered,76,moto,"raw 277 -> 255, mất 0 frame"
190,6.33,id_recovered,2,car,"raw 17 -> 282, mất 1 frame"
191,6.37,occlusion,25&45,,IoU 0.34
192,6.4,small_object,79,moto,"box 29x35px, conf 0.57"
193,6.43,id_recovered,68,moto,"raw 174 -> 283, mất 0 frame"
193,6.43,id_recovered,11,car,"raw 11 -> 17, mất 55 frame"
193,6.43,occlusion,2&11,,IoU 0.35
195,6.5,id_recovered,23,car,"raw 229 -> 286, mất 3 frame"
195,6.5,id_recovered,68,moto,"raw 283 -> 287, mất 1 frame"
195,6.5,id_recovered,65,car,"raw 213 -> 288, mất 8 frame"
195,6.5,id_recovered,67,moto,"raw 215 -> 289, mất 22 frame"
197,6.57,id_recovered,13,car,"raw 246 -> 293, mất 26 frame"
197,6.57,occlusion,13&61,,IoU 0.47
198,6.6,id_recovered,24,car,"raw 239 -> 294, mất 35 frame"
198,6.6,id_recovered,39,moto,"raw 232 -> 295, mất 2 frame"
198,6.6,id_recovered,25,car,"raw 276 -> 296, mất 5 frame"
198,6.6,occlusion,24&38,,IoU 0.51
199,6.63,id_recovered,36,car,"raw 212 -> 298, mất 36 frame"
200,6.67,id_recovered,71,moto,"raw 253 -> 299, mất 20 frame"
201,6.7,id_recovered,72,car,"raw 272 -> 301, mất 16 frame"
204,6.8,id_recovered,12,car,"raw 241 -> 306, mất 42 frame"
205,6.83,id_recovered,78,moto,"raw 260 -> 308, mất 9 frame"
206,6.87,id_recovered,85,moto,"raw 302 -> 309, mất 4 frame"
207,6.9,id_recovered,16,car,"raw 223 -> 229, mất 56 frame"
208,6.93,id_recovered,71,moto,"raw 299 -> 310, mất 7 frame"
208,6.93,id_recovered,78,moto,"raw 308 -> 261, mất 1 frame"
210,7.0,id_recovered,78,moto,"raw 261 -> 314, mất 1 frame"
211,7.03,id_recovered,86,car,"raw 304 -> 315, mất 1 frame"
211,7.03,occlusion,81&87,,IoU 0.43
212,7.07,id_recovered,52,moto,"raw 81 -> 317, mất 5 frame"
212,7.07,id_recovered,78,moto,"raw 314 -> 318, mất 1 frame"
212,7.07,small_object,88,car,"box 19x20px, conf 0.44"
213,7.1,id_recovered,37,bus,"raw 41 -> 320, mất 5 frame"
213,7.1,id_recovered,71,moto,"raw 310 -> 321, mất 1 frame"
214,7.13,id_recovered,25,car,"raw 296 -> 323, mất 13 frame"
214,7.13,occlusion,25&45,,IoU 0.30
219,7.3,id_recovered,81,moto,"raw 270 -> 327, mất 6 frame"
219,7.3,id_recovered,83,moto,"raw 279 -> 328, mất 5 frame"
219,7.3,id_recovered,67,moto,"raw 289 -> 329, mất 4 frame"
220,7.33,id_recovered,52,moto,"raw 317 -> 330, mất 5 frame"
221,7.37,small_object,19,car,"box 34x30px, conf 0.68"
222,7.4,id_recovered,64,bus,"raw 153 -> 332, mất 5 frame"
223,7.43,id_recovered,47,car,"raw 89 -> 334, mất 2 frame"
226,7.53,id_recovered,84,bus,"raw 284 -> 337, mất 19 frame"
227,7.57,id_recovered,13,car,"raw 293 -> 338, mất 27 frame"
227,7.57,id_recovered,26,car,"raw 249 -> 339, mất 6 frame"
230,7.67,id_recovered,13,car,"raw 338 -> 342, mất 1 frame"
232,7.73,id_recovered,82,car,"raw 271 -> 344, mất 38 frame"
232,7.73,id_recovered,59,truck,"raw 119 -> 345, mất 7 frame"
232,7.73,id_recovered,3,car,"raw 275 -> 346, mất 44 frame"
233,7.77,id_recovered,68,moto,"raw 287 -> 349, mất 29 frame"
236,7.87,id_recovered,87,moto,"raw 316 -> 352, mất 2 frame"
238,7.93,id_recovered,61,car,"raw 216 -> 354, mất 1 frame"
239,7.97,id_recovered,85,moto,"raw 309 -> 355, mất 2 frame"
240,8.0,id_recovered,90,car,"raw 347 -> 356, mất 1 frame"
240,8.0,id_recovered,47,car,"raw 334 -> 357, mất 6 frame"
241,8.03,id_recovered,56,car,"raw 188 -> 358, mất 8 frame"
241,8.03,id_recovered,13,car,"raw 342 -> 359, mất 7 frame"
245,8.17,small_object,52,moto,"box 25x37px, conf 0.20"
246,8.2,small_object,30,car,"box 36x27px, conf 0.76"
249,8.3,id_recovered,93,car,"raw 361 -> 362, mất 1 frame"
250,8.33,id_recovered,25,car,"raw 323 -> 363, mất 28 frame"
252,8.4,id_recovered,16,car,"raw 229 -> 366, mất 15 frame"
253,8.43,id_recovered,33,truck,"raw 132 -> 367, mất 4 frame"
254,8.47,id_recovered,38,bus,"raw 278 -> 369, mất 52 frame"
256,8.53,id_recovered,13,car,"raw 359 -> 371, mất 10 frame"
256,8.53,id_recovered,59,truck,"raw 345 -> 372, mất 21 frame"
257,8.57,id_recovered,47,car,"raw 357 -> 374, mất 2 frame"
260,8.67,id_recovered,87,moto,"raw 352 -> 378, mất 23 frame"
260,8.67,id_recovered,76,moto,"raw 255 -> 380, mất 42 frame"
264,8.8,id_recovered,33,truck,"raw 367 -> 132, mất 5 frame"
270,9.0,small_object,57,car,"box 35x28px, conf 0.68"
270,9.0,id_recovered,25,car,"raw 363 -> 392, mất 11 frame"
272,9.07,small_object,83,moto,"box 23x29px, conf 0.54"
272,9.07,id_recovered,83,moto,"raw 328 -> 393, mất 1 frame"
272,9.07,id_recovered,13,car,"raw 371 -> 395, mất 14 frame"
