frame,read_ms,track_ms,yolo_pre_ms,yolo_inf_ms,yolo_post_ms,ids_ms,draw_ms,diag_ms,n_tracks,n_small,n_blur,n_occluded_pairs
121,7.414,143.876,16.177,110.746,3.465,6.367,32.209,10.413,31,1,0,0
122,7.322,141.198,14.83,109.856,2.857,6.472,28.73,9.845,32,2,0,0
123,6.589,134.443,13.222,105.007,3.097,6.384,27.698,9.436,32,3,0,0
124,6.961,158.71,15.426,124.57,3.94,6.288,30.685,9.373,31,3,0,1
125,6.828,137.634,16.375,101.226,4.223,7.296,31.156,9.981,34,1,0,1
126,6.59,141.33,15.347,108.16,3.609,6.64,30.894,9.621,33,1,0,1
127,6.558,150.167,16.907,114.079,4.075,8.067,29.843,11.84,33,3,0,1
128,6.673,140.077,17.285,103.666,3.843,7.404,30.232,12.714,35,4,0,1
129,7.082,161.667,17.203,125.34,3.986,7.143,30.887,10.868,37,6,0,1
130,7.247,136.277,16.174,100.608,3.991,7.469,29.081,9.114,37,4,0,0
131,7.115,139.101,15.189,106.18,3.879,7.04,29.751,12.214,35,3,0,1
132,6.602,137.793,15.714,103.595,3.609,7.45,30.089,12.633,36,4,0,1
133,4.786,134.519,15.19,99.765,4.097,7.805,31.587,11.232,37,4,0,1
134,5.453,138.751,16.989,103.146,3.958,7.034,30.448,11.022,35,4,0,0
135,6.7,137.397,16.508,102.894,3.799,6.871,29.092,13.333,33,4,0,0
136,6.767,134.047,17.527,97.769,3.877,7.15,30.137,11.589,34,5,0,0
137,6.746,137.634,15.663,103.226,3.888,6.724,30.09,11.173,34,4,0,0
138,6.262,137.569,15.779,102.294,3.867,7.066,30.434,9.753,33,3,0,0
139,7.171,137.411,14.848,103.449,4.073,6.788,30.37,9.538,33,3,0,0
140,7.181,137.183,18.116,101.034,3.765,6.365,29.713,9.386,34,4,0,0
141,7.243,139.247,16.345,104.584,3.612,7.232,29.101,9.812,35,4,0,1
142,6.385,132.558,14.836,100.529,3.206,7.05,28.974,9.32,35,4,0,1
143,6.979,146.088,14.552,113.74,2.942,7.288,28.338,9.808,37,4,0,1
144,7.294,136.234,15.859,101.383,3.168,8.098,31.759,10.807,37,4,0,2
145,6.681,146.161,16.721,109.539,3.383,7.868,31.039,10.402,39,3,0,2
146,6.863,136.997,15.067,103.067,3.92,7.57,28.002,10.743,38,2,0,2
147,7.19,132.695,13.726,100.694,3.249,8.094,28.042,10.553,40,2,0,2
148,9.336,144.817,14.946,111.512,3.268,7.999,29.063,10.558,41,3,0,2
149,6.606,141.827,15.428,107.979,3.227,7.743,28.13,10.227,40,3,0,2
150,6.401,138.745,17.12,102.606,3.826,7.872,27.67,10.217,40,3,0,2
151,6.788,142.878,16.999,107.577,3.025,7.266,28.47,9.443,38,2,0,2
152,7.166,133.782,14.921,101.264,3.1,7.422,28.251,9.667,38,1,0,2
153,7.016,142.474,17.677,106.717,3.501,6.869,27.385,9.52,36,1,0,1
154,6.531,131.855,15.518,97.857,3.482,7.321,28.723,9.654,36,1,0,1
155,6.899,136.836,15.228,102.964,3.458,7.271,28.443,10.757,37,2,0,1
156,6.725,134.262,17.752,97.491,3.714,7.486,30.029,11.402,38,3,0,1
157,6.617,136.042,15.168,102.133,3.356,7.356,31.583,35.926,39,3,0,1
158,6.348,130.941,15.183,96.844,3.446,7.55,27.833,11.07,38,2,0,1
159,5.876,132.092,14.177,99.441,3.409,7.682,29.651,11.795,36,2,0,1
160,5.332,130.755,12.778,99.503,3.263,8.2,27.639,10.81,40,2,0,3
161,5.428,132.157,15.566,97.655,3.347,7.463,30.297,34.06,40,4,0,1
162,6.02,129.524,15.635,95.781,3.42,7.071,30.274,11.333,37,4,0,2
163,6.359,135.639,14.042,101.936,3.582,7.238,30.496,10.566,36,5,0,1
164,5.742,132.111,14.549,97.481,3.675,7.037,31.177,12.144,37,5,0,0
165,6.222,137.626,16.739,101.602,3.583,7.368,28.925,12.033,38,6,0,0
166,6.478,132.626,14.504,100.098,3.382,6.858,29.859,12.042,37,5,0,0
167,6.072,134.027,13.704,101.766,3.27,6.886,29.091,10.571,35,5,0,0
168,6.481,131.652,16.412,96.854,3.402,6.615,30.12,10.84,34,4,0,0
169,6.108,138.377,15.62,103.785,3.3,6.386,29.636,9.505,34,4,0,0
170,6.408,133.015,14.276,101.203,3.374,6.424,29.371,8.818,33,3,0,0
171,6.586,137.848,13.327,105.267,3.415,6.679,30.229,10.0,35,2,0,0
172,6.554,131.426,14.778,97.393,3.234,7.286,30.623,11.639,36,3,0,0
173,6.959,138.547,16.275,102.142,3.357,7.462,33.356,10.51,35,3,0,0
174,6.991,133.657,15.251,99.081,3.378,7.115,31.435,10.563,36,4,0,0
175,6.883,137.943,14.43,103.962,3.629,6.606,29.652,10.196,33,5,0,0
176,7.019,136.22,15.141,102.02,3.13,6.646,30.77,10.619,34,5,0,0
177,6.856,136.704,16.435,99.493,3.484,7.856,31.336,10.694,36,5,0,0
178,6.915,138.239,18.751,99.611,3.423,7.296,31.113,12.199,36,5,0,0
179,7.301,136.228,14.539,101.994,3.145,7.635,31.858,10.183,39,5,0,0
